                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1669,                 4.9913,                 1.6434,                 0.2638,                0.39274,                0.23099,                0.07187,                 2.4441,                 2.4188,                 1.2926,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5453,                 2.9907,                 1.2729,                0.32871,                  0.504,                0.31826,                0.10304,                 2.3991,                 1.9697,                 1.2844,               0.006648,               0.006648,               0.006648
                      3,                  2.485,                 2.5846,                 1.2466,                0.46265,                0.52629,                0.44761,                0.14811,                 2.2498,                 1.7441,                 1.2147,               0.009955,               0.009955,               0.009955
                      4,                 2.4203,                 2.2607,                 1.2162,                0.34102,                 0.4905,                0.33433,                0.09964,                 2.3069,                 1.8092,                 1.2154,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3599,                  2.022,                 1.2011,                0.41727,                0.55355,                0.44811,                0.16164,                 2.2015,                 1.6188,                 1.1996,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.3208,                 1.8879,                 1.1873,                0.40628,                0.41075,                0.35986,                0.09553,                 2.5633,                 1.7205,                 1.2877,               0.009901,               0.009901,               0.009901
                      7,                 2.3057,                 1.8075,                 1.1861,                0.43891,                 0.5884,                0.48269,                0.17052,                 2.1134,                  1.574,                 1.1551,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2803,                 1.7129,                 1.1687,                0.48503,                0.61587,                0.52559,                0.18198,                 2.1212,                 1.5608,                 1.1481,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.2446,                 1.6779,                 1.1679,                0.44142,                0.51698,                0.42017,                0.10299,                 2.6505,                 1.6512,                 1.2767,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.2387,                 1.6725,                 1.1565,                0.58461,                0.61171,                0.58152,                0.21533,                 2.0687,                 1.4648,                 1.1347,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1893,                 1.5925,                 1.1593,                0.62254,                 0.6548,                0.60984,                 0.2188,                 2.1635,                 1.4051,                 1.1882,               0.009802,               0.009802,               0.009802
                     12,                 2.2254,                 1.5994,                 1.1664,                0.61239,                0.64418,                0.63099,                0.23395,                 2.0861,                 1.3946,                 1.1381,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.2258,                 1.6036,                 1.1616,                0.60143,                0.64608,                0.62557,                0.24162,                 2.0404,                 1.4103,                 1.1423,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.2094,                  1.557,                 1.1385,                0.65008,                0.66384,                0.64361,                0.25165,                 2.0284,                 1.3822,                 1.1294,              0.0097426,              0.0097426,              0.0097426
