                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.687,                 6.1401,                 1.3448,                0.18394,                 0.1853,                0.07845,                0.02631,                 2.2053,                 2.6685,                 1.2179,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.3827,                 3.4569,                 1.2353,                0.14268,                0.29626,                0.12306,                0.04104,                 2.2241,                 2.3852,                  1.234,              0.0066523,              0.0066523,              0.0066523
                      3,                  2.388,                  2.758,                 1.2466,                0.12875,                0.18855,                0.09057,                0.02903,                 2.3562,                 2.5454,                 1.2853,              0.0099593,              0.0099593,              0.0099593
                      4,                 2.3818,                  2.547,                 1.2487,                0.17944,                0.32696,                 0.1421,                0.04779,                 2.1199,                 2.2852,                 1.2041,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3369,                 2.4252,                 1.2312,                  0.219,                0.34896,                0.18807,                0.06541,                 2.1754,                 2.1901,                  1.221,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2806,                 2.3245,                 1.2097,                0.26917,                0.32695,                 0.2243,                0.07348,                 2.1962,                 2.1502,                  1.229,               0.009901,               0.009901,               0.009901
                      7,                 2.2422,                 2.2701,                 1.2024,                0.24814,                0.30268,                0.19117,                0.06013,                 2.2701,                 2.1674,                 1.2393,              0.0098812,              0.0098812,              0.0098812
                      8,                  2.213,                 2.2264,                  1.182,                0.30343,                0.36314,                0.26853,                0.09755,                  1.992,                 2.0427,                 1.1588,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1891,                 2.1797,                  1.179,                0.27418,                0.36032,                0.24409,                0.08799,                 1.9842,                 2.0832,                 1.1553,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1701,                 2.1472,                 1.1661,                 0.3312,                0.33981,                0.28609,                0.11133,                 1.9226,                 1.9959,                 1.1407,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1407,                 2.1225,                 1.1639,                0.31242,                0.37628,                0.28643,                0.10812,                 1.9675,                 1.9848,                 1.1473,               0.009802,               0.009802,               0.009802
                     12,                 2.1211,                 2.0965,                 1.1538,                 0.3962,                0.45206,                0.37336,                0.14715,                 1.8919,                 1.8392,                 1.1389,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1019,                 2.0747,                 1.1453,                0.31649,                0.41461,                0.30128,                0.11639,                 1.9259,                 1.9457,                 1.1388,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0783,                 2.0642,                 1.1414,                0.34573,                0.38802,                0.31665,                0.12523,                 1.8929,                 1.9284,                 1.1248,              0.0097426,              0.0097426,              0.0097426
                     15,                  2.067,                 2.0504,                  1.142,                0.38527,                 0.4491,                0.35749,                0.14549,                 1.8383,                 1.8339,                 1.1125,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0472,                 2.0312,                 1.1295,                0.38569,                0.44773,                0.35807,                0.14683,                 1.8225,                 1.8424,                  1.109,               0.009703,               0.009703,               0.009703
                     17,                 2.0381,                 2.0135,                 1.1307,                0.37569,                0.42273,                0.35526,                0.14641,                  1.799,                 1.8431,                 1.1036,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0137,                 1.9983,                 1.1251,                 0.3756,                0.44063,                0.35956,                0.15251,                 1.7874,                 1.8178,                 1.0964,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.0053,                 1.9881,                 1.1208,                0.35868,                0.44748,                0.35545,                0.14907,                 1.8141,                 1.8288,                 1.1054,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0051,                  1.965,                 1.1193,                0.39004,                0.46722,                0.38617,                0.16476,                 1.7665,                 1.7724,                 1.0857,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.9822,                 1.9527,                 1.1112,                0.39371,                0.46953,                0.38728,                0.16605,                 1.7298,                 1.7611,                 1.0704,               0.009604,               0.009604,               0.009604
                     22,                 1.9785,                 1.9372,                 1.1038,                0.39062,                0.46952,                0.39151,                0.17171,                 1.7316,                 1.7523,                 1.0775,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.9527,                 1.9306,                 1.1005,                0.40733,                0.49701,                 0.4066,                0.17365,                 1.7207,                 1.7455,                 1.0683,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.9458,                 1.9167,                 1.0949,                0.38699,                0.49224,                0.39142,                0.16978,                 1.7077,                  1.771,                 1.0607,              0.0095446,              0.0095446,              0.0095446
