                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5681,                  4.863,                 1.2757,                0.18316,                0.15144,                0.10997,                0.03393,                 2.2478,                 2.6827,                 1.1361,              0.0033316,              0.0033316,              0.0033316
                      2,                 2.3096,                 3.2413,                 1.1648,                0.21355,                0.36049,                0.17738,                0.06045,                 2.1581,                  2.253,                   1.13,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.3023,                 2.6942,                 1.1648,                0.20883,                0.27366,                0.14889,                0.04706,                 2.2141,                 2.3283,                  1.145,              0.0099587,              0.0099587,              0.0099587
                      4,                 2.2893,                 2.4321,                 1.1698,                0.16835,                0.37999,                0.14733,                0.04286,                 2.3319,                 2.2722,                 1.2002,              0.0099406,              0.0099406,              0.0099406
                      5,                  2.246,                 2.2891,                 1.1503,                0.19947,                0.51308,                0.19787,                0.07086,                 2.0873,                 2.0145,                 1.1348,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2256,                 2.2108,                 1.1525,                0.23648,                0.49958,                 0.2296,                0.08212,                 2.0719,                 1.9864,                 1.1267,               0.009901,               0.009901,               0.009901
                      7,                 2.2022,                 2.1734,                 1.1497,                0.23216,                0.54284,                0.23407,                0.08459,                 2.0307,                 1.9491,                 1.1088,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1646,                 2.1196,                 1.1359,                0.27527,                0.49812,                0.25882,                 0.0948,                 2.0718,                 1.9386,                 1.1162,              0.0098614,              0.0098614,              0.0098614
                      9,                  2.158,                 2.0927,                 1.1265,                0.28584,                0.58016,                0.28248,                0.10627,                 1.9867,                 1.8937,                 1.0908,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1482,                 2.0892,                 1.1256,                0.27326,                0.51074,                0.26159,                0.10454,                 2.0162,                 1.8996,                 1.1079,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1268,                 2.0668,                 1.1139,                0.30264,                0.59188,                0.29946,                0.11178,                 2.0184,                 1.8629,                  1.093,               0.009802,               0.009802,               0.009802
                     12,                 2.1282,                 2.0491,                  1.118,                0.28847,                0.54882,                0.28417,                0.10649,                 1.9922,                 1.8848,                 1.0824,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1067,                 2.0416,                 1.1114,                0.28999,                0.50763,                0.28179,                0.11139,                 2.0055,                  1.876,                 1.0913,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.1096,                 2.0319,                 1.1108,                0.31049,                0.54766,                0.29395,                0.11732,                 1.9679,                 1.8671,                 1.0819,              0.0097426,              0.0097426,              0.0097426
