                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1596,                 4.9767,                 1.6202,                0.23909,                0.34663,                 0.2033,                0.06701,                 2.4446,                 2.4944,                 1.3103,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5127,                  2.909,                 1.2723,                0.33169,                0.42989,                0.30224,                0.09166,                 2.3978,                 1.9672,                 1.2692,              0.0066481,              0.0066481,              0.0066481
                      3,                  2.452,                 2.5715,                 1.2444,                0.11954,                0.34659,                0.09613,                0.02272,                 2.8255,                 2.3688,                 1.3301,               0.009955,               0.009955,               0.009955
                      4,                 2.3785,                 2.2637,                 1.2158,                0.26725,                0.39635,                 0.2241,                0.05672,                 2.5884,                 1.9774,                 1.2902,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3385,                 2.0131,                 1.1933,                 0.3833,                 0.5119,                0.39289,                  0.126,                 2.3092,                  1.732,                 1.2094,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.3141,                 1.9109,                 1.1976,                0.39471,                0.49131,                0.38555,                0.11339,                 2.3523,                 1.7209,                 1.2293,               0.009901,               0.009901,               0.009901
                      7,                 2.2965,                 1.7725,                  1.179,                0.43589,                0.53148,                0.44945,                0.14191,                 2.2504,                 1.6852,                 1.1771,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2487,                 1.7368,                  1.152,                0.37874,                0.49695,                 0.3326,                0.07883,                 2.6785,                 1.7393,                 1.3303,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.2463,                 1.6907,                 1.1624,                0.56881,                0.60982,                0.57915,                0.18756,                 2.2381,                 1.5083,                  1.175,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.2414,                 1.6817,                 1.1576,                0.58276,                0.58536,                0.56489,                0.20551,                 2.1076,                 1.4944,                 1.1521,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.2169,                 1.6493,                 1.1645,                0.54737,                0.61721,                0.58431,                0.22987,                 2.0039,                 1.4581,                 1.1211,               0.009802,               0.009802,               0.009802
                     12,                 2.2061,                 1.6521,                 1.1554,                0.55013,                0.65873,                0.58982,                0.19757,                  2.198,                 1.4991,                 1.1621,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1904,                  1.584,                 1.1453,                0.60911,                 0.6069,                0.59686,                0.20115,                 2.1797,                 1.4827,                 1.1646,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.1675,                 1.5682,                 1.1284,                0.57693,                0.60714,                  0.576,                0.17011,                 2.3811,                 1.4683,                 1.2155,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1666,                 1.5325,                 1.1304,                0.61128,                0.65303,                0.61108,                0.22489,                 2.1136,                 1.4254,                  1.133,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1744,                 1.5517,                 1.1221,                 0.5806,                0.63527,                0.59613,                0.20453,                 2.1651,                 1.4316,                 1.1508,               0.009703,               0.009703,               0.009703
                     17,                 2.1464,                 1.5205,                 1.1338,                0.63862,                0.65776,                0.62843,                0.21787,                 2.1059,                 1.4128,                 1.1358,              0.0096832,              0.0096832,              0.0096832
