                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6769,                 6.0916,                 1.3577,                0.11413,                0.32156,                 0.0873,                0.02739,                 2.3092,                 2.6224,                 1.2922,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.3909,                 3.4594,                 1.2469,                0.17377,                0.28729,                0.13434,                0.04454,                 2.1995,                 2.4021,                 1.2428,              0.0066523,              0.0066523,              0.0066523
                      3,                 2.4046,                 2.7604,                 1.2542,                0.15777,                0.34669,                0.13291,                0.04508,                 2.2139,                 2.3692,                 1.2511,              0.0099593,              0.0099593,              0.0099593
                      4,                 2.3889,                 2.5518,                 1.2495,                0.15106,                0.33772,                0.12956,                0.04418,                 2.1496,                   2.33,                 1.2346,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3163,                 2.4343,                 1.2245,                0.19811,                0.37961,                 0.1573,                0.05091,                 2.1946,                 2.2803,                 1.2278,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2815,                 2.3634,                 1.2136,                 0.2459,                0.34679,                0.18648,                0.06174,                 2.1865,                 2.2483,                 1.2236,               0.009901,               0.009901,               0.009901
                      7,                 2.2392,                  2.304,                 1.1918,                0.23267,                0.47424,                0.23915,                0.08454,                   2.03,                 2.1092,                 1.1774,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2307,                 2.2648,                 1.1811,                0.25012,                0.44552,                0.23302,                0.08676,                 2.0213,                 2.0737,                 1.1759,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1987,                 2.2365,                 1.1756,                0.25287,                0.38596,                0.22857,                0.08586,                 1.9869,                 2.0829,                 1.1527,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1616,                 2.1935,                 1.1598,                 0.3346,                0.37809,                0.29263,                 0.1116,                 1.9592,                 2.0049,                 1.1551,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1479,                  2.158,                 1.1681,                0.30771,                0.37802,                 0.2743,                0.10132,                  1.989,                 2.0346,                  1.159,               0.009802,               0.009802,               0.009802
                     12,                 2.1214,                 2.1225,                 1.1498,                0.33757,                0.39587,                0.31493,                0.12035,                 1.9355,                 1.9416,                 1.1366,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.0881,                 2.0866,                 1.1443,                 0.3231,                0.37814,                 0.3072,                0.12246,                 1.8794,                 1.9678,                 1.1335,              0.0097624,              0.0097624,              0.0097624
                     14,                  2.092,                 2.0956,                 1.1467,                0.34999,                0.38505,                0.32345,                0.12849,                 1.8949,                 1.9508,                 1.1326,              0.0097426,              0.0097426,              0.0097426
                     15,                  2.061,                 2.0562,                 1.1376,                 0.3536,                0.44111,                0.33779,                0.13157,                 1.8943,                 1.8873,                 1.1332,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0501,                 2.0448,                 1.1254,                0.38256,                0.40392,                0.35137,                0.14329,                  1.822,                 1.8856,                 1.1099,               0.009703,               0.009703,               0.009703
                     17,                 2.0481,                 2.0259,                  1.129,                0.37014,                0.41521,                0.35933,                0.15085,                 1.7937,                 1.8643,                 1.0981,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0178,                 2.0326,                 1.1258,                 0.3755,                 0.4646,                0.37332,                0.15194,                 1.8339,                  1.833,                 1.1117,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.0208,                 2.0112,                  1.122,                0.37829,                0.46643,                0.37376,                0.15659,                 1.7581,                 1.8161,                 1.0843,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.9885,                 1.9881,                 1.1168,                0.41956,                0.44501,                0.39381,                0.16861,                 1.7442,                 1.7967,                 1.0803,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.9736,                 1.9618,                 1.1047,                0.41092,                0.46841,                0.39958,                0.17198,                 1.7375,                 1.7731,                 1.0834,               0.009604,               0.009604,               0.009604
                     22,                 1.9541,                 1.9413,                 1.0992,                0.41691,                0.46526,                0.41408,                0.18007,                 1.7113,                 1.7652,                 1.0708,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.9512,                 1.9481,                  1.095,                0.45892,                0.50322,                0.45084,                0.19305,                 1.7283,                 1.7127,                 1.0753,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.9492,                 1.9159,                 1.0997,                0.40347,                0.49251,                0.40055,                 0.1753,                 1.6948,                 1.7661,                 1.0666,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.9439,                 1.9201,                 1.0919,                0.43524,                0.48008,                 0.4287,                0.18891,                 1.7018,                 1.7437,                 1.0718,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9208,                 1.9068,                 1.0854,                0.43439,                0.50913,                0.44033,                0.19243,                 1.7018,                 1.7174,                 1.0664,               0.009505,               0.009505,               0.009505
                     27,                 1.9116,                 1.8982,                 1.0866,                0.47951,                   0.52,                0.47384,                0.20793,                 1.6946,                 1.6781,                 1.0624,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9045,                  1.886,                 1.0794,                0.45566,                0.51012,                0.45513,                0.20218,                 1.6832,                 1.7018,                  1.057,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.8964,                 1.8701,                 1.0838,                0.44302,                0.50221,                0.44462,                0.19803,                 1.6789,                 1.6963,                  1.059,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.8935,                 1.8651,                  1.081,                 0.4608,                0.52383,                0.46412,                0.20698,                 1.6896,                 1.6757,                 1.0651,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.8968,                 1.8737,                 1.0771,                0.45851,                0.50174,                0.45251,                0.20414,                 1.6645,                 1.6912,                 1.0486,               0.009406,               0.009406,               0.009406
                     32,                 1.8939,                 1.8781,                 1.0779,                0.47099,                0.48734,                0.45876,                0.20364,                 1.6921,                 1.7008,                 1.0636,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.8764,                 1.8589,                 1.0751,                0.46667,                0.50773,                0.46755,                0.20779,                 1.6905,                 1.6678,                 1.0641,              0.0093664,              0.0093664,              0.0093664
                     34,                  1.876,                 1.8472,                 1.0718,                0.48075,                0.52817,                0.48279,                0.21546,                 1.6487,                 1.6683,                 1.0458,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.8531,                 1.8388,                 1.0675,                0.47889,                0.53622,                0.48046,                0.21347,                 1.6851,                 1.6633,                 1.0599,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.8537,                 1.8495,                 1.0668,                0.47543,                0.52859,                 0.4706,                0.21203,                 1.6487,                 1.6637,                 1.0468,               0.009307,               0.009307,               0.009307
                     37,                 1.8565,                  1.835,                 1.0644,                0.46962,                0.52853,                0.47157,                0.21037,                 1.6916,                 1.6585,                  1.064,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.8534,                 1.8417,                 1.0675,                0.49123,                0.52841,                 0.4823,                0.21355,                 1.6963,                 1.6369,                 1.0677,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.8459,                 1.8312,                 1.0691,                 0.5085,                0.53435,                0.48971,                0.21848,                 1.6704,                 1.6309,                  1.055,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8321,                 1.8153,                 1.0589,                0.49296,                0.53869,                0.49239,                0.21834,                 1.6899,                 1.6317,                 1.0622,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8379,                  1.813,                 1.0678,                0.48925,                0.52845,                 0.4805,                0.21582,                 1.6585,                 1.6279,                 1.0544,               0.009208,               0.009208,               0.009208
                     42,                 1.8281,                 1.8034,                   1.06,                0.48551,                0.50808,                0.47304,                0.21358,                 1.6394,                 1.6449,                  1.048,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.8283,                 1.8095,                 1.0598,                 0.4848,                0.52738,                0.47709,                0.21369,                 1.6515,                 1.6425,                   1.05,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.8101,                 1.8002,                 1.0553,                0.47775,                0.52559,                0.47608,                0.21238,                 1.6825,                   1.64,                  1.065,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.8207,                 1.8051,                 1.0549,                0.48496,                0.53111,                0.48182,                0.21648,                 1.6579,                 1.6353,                 1.0542,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.821,                 1.8062,                 1.0591,                0.48858,                0.51505,                0.48195,                0.21384,                 1.6668,                  1.641,                 1.0579,               0.009109,               0.009109,               0.009109
                     47,                 1.8115,                  1.807,                 1.0529,                0.49655,                0.53616,                0.48876,                0.22008,                 1.6449,                 1.6286,                 1.0469,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.8034,                 1.8162,                 1.0541,                0.49061,                 0.5246,                0.48602,                 0.2186,                 1.6534,                 1.6286,                 1.0508,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.8134,                    1.8,                  1.052,                0.50625,                0.53233,                0.49557,                 0.2226,                  1.647,                 1.6176,                 1.0473,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.8094,                 1.7951,                 1.0515,                0.50493,                0.52318,                0.48977,                0.22125,                 1.6381,                  1.624,                 1.0425,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.8023,                  1.792,                 1.0535,                0.50677,                0.53611,                0.49695,                0.22266,                  1.657,                 1.6122,                 1.0508,                0.00901,                0.00901,                0.00901
                     52,                 1.7896,                  1.778,                  1.043,                0.51032,                0.54094,                0.50083,                0.22443,                 1.6533,                 1.6107,                 1.0491,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.7954,                 1.7861,                 1.0505,                0.51236,                0.53495,                0.49366,                0.22238,                 1.6433,                 1.6173,                 1.0456,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.7953,                 1.7831,                 1.0484,                0.50456,                0.53108,                0.48753,                0.21936,                 1.6518,                 1.6197,                 1.0491,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.7928,                 1.7767,                 1.0451,                0.50152,                0.53801,                0.48927,                0.22153,                  1.648,                 1.6157,                 1.0479,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.7879,                 1.7687,                 1.0431,                0.49553,                0.54369,                0.48932,                0.22178,                 1.6332,                 1.6147,                 1.0411,               0.008911,               0.008911,               0.008911
                     57,                 1.7886,                 1.7799,                 1.0467,                 0.5037,                0.54038,                0.48982,                0.22092,                 1.6488,                 1.6107,                 1.0472,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.785,                  1.784,                  1.039,                  0.503,                 0.5407,                0.49031,                0.22239,                 1.6418,                  1.612,                  1.045,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.7833,                  1.772,                  1.042,                0.50525,                0.53735,                0.49384,                0.22519,                 1.6302,                 1.6107,                 1.0403,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.7826,                 1.7801,                 1.0465,                0.51276,                 0.5325,                0.49807,                 0.2259,                 1.6395,                 1.6053,                 1.0448,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.7723,                 1.7652,                 1.0428,                0.51787,                0.53554,                0.50054,                0.22742,                 1.6357,                 1.5998,                 1.0439,               0.008812,               0.008812,               0.008812
                     62,                 1.7735,                 1.7651,                 1.0402,                 0.5251,                0.53087,                0.50354,                0.22863,                 1.6356,                 1.5943,                 1.0434,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.7772,                  1.774,                 1.0445,                0.51525,                 0.5351,                0.50172,                0.22701,                 1.6514,                 1.5917,                 1.0484,              0.0087724,              0.0087724,              0.0087724
