                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9249,                  1.852,                 1.0573,                0.38504,                0.60152,                0.39648,                0.17063,                 1.7815,                  1.678,                  1.034,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.9381,                 1.8545,                  1.067,                0.39757,                 0.5929,                0.41714,                0.18027,                 1.7671,                 1.6802,                 1.0327,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.9257,                 1.8403,                 1.0568,                0.44601,                0.58183,                0.45647,                0.19916,                 1.7469,                 1.6492,                 1.0288,               0.009307,               0.009307,               0.009307
                     37,                 1.9257,                 1.8117,                 1.0603,                0.50295,                0.58344,                0.51646,                0.21985,                 1.7692,                 1.5925,                 1.0324,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.9248,                 1.7665,                 1.0581,                0.57908,                0.58397,                0.56872,                0.24297,                 1.7734,                 1.5262,                 1.0305,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.9121,                 1.7262,                 1.0526,                 0.6067,                0.60082,                0.59663,                0.25398,                 1.7666,                 1.4879,                 1.0303,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.9228,                 1.7088,                 1.0573,                0.62375,                0.61871,                0.61102,                0.26703,                 1.7432,                 1.4477,                 1.0246,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.9127,                  1.675,                 1.0572,                0.63364,                0.62192,                0.62348,                0.27672,                 1.7253,                 1.4079,                 1.0226,               0.009208,               0.009208,               0.009208
                     42,                 1.9057,                 1.6579,                  1.061,                0.63442,                 0.6288,                0.62048,                0.27171,                 1.7369,                  1.423,                 1.0213,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.9001,                 1.6489,                 1.0508,                0.64142,                0.63441,                0.63178,                0.27685,                 1.7337,                 1.4097,                 1.0183,              0.0091684,              0.0091684,              0.0091684
