                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5784,                  4.917,                 1.2816,                0.19886,                0.25831,                0.13711,                0.04657,                 2.2508,                 2.4417,                 1.1858,              0.0033316,              0.0033316,              0.0033316
                      2,                  2.321,                 3.2707,                 1.1762,                0.21002,                0.41154,                 0.1838,                 0.0645,                 2.1515,                 2.1636,                 1.1589,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.3079,                 2.7202,                 1.1695,                0.18607,                0.44822,                0.17126,                0.06009,                 2.3053,                 2.2056,                 1.2179,              0.0099587,              0.0099587,              0.0099587
                      4,                  2.281,                 2.4116,                 1.1708,                0.16228,                 0.4177,                0.14809,                0.04663,                 2.2481,                 2.1884,                 1.1514,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2734,                 2.2996,                  1.157,                0.17355,                0.45757,                0.16543,                 0.0519,                 2.2246,                 2.1261,                 1.1742,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2338,                 2.2202,                 1.1506,                0.26522,                0.53693,                0.25904,                 0.0929,                 2.0889,                 1.9666,                  1.127,               0.009901,               0.009901,               0.009901
                      7,                    2.2,                 2.1603,                 1.1405,                0.27306,                0.51937,                0.26113,                0.09518,                 2.0704,                  1.928,                 1.1238,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1812,                 2.1368,                 1.1428,                0.25701,                0.54497,                0.25329,                0.08869,                  2.069,                 1.9713,                 1.1155,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1659,                 2.1082,                 1.1267,                0.21788,                0.49223,                 0.2213,                0.07656,                 2.0693,                 2.0284,                 1.1093,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1469,                 2.0832,                 1.1266,                0.27505,                0.54153,                0.26275,                0.09968,                 2.0038,                 1.9105,                 1.0988,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1112,                 2.0501,                 1.1133,                0.29956,                0.54946,                0.28495,                 0.1158,                   1.95,                  1.866,                 1.0859,               0.009802,               0.009802,               0.009802
                     12,                 2.1259,                 2.0432,                 1.1168,                0.28764,                0.49255,                  0.269,                0.10208,                 1.9782,                  1.947,                 1.0878,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1214,                 2.0435,                 1.1113,                0.31659,                0.56264,                 0.2986,                0.11988,                 1.9589,                 1.8331,                 1.0965,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.1019,                 2.0055,                 1.1118,                0.29901,                0.52489,                0.28485,                0.10285,                 1.9966,                 1.8948,                 1.0942,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0839,                  2.012,                 1.1094,                0.32791,                0.55089,                0.30221,                0.11631,                 2.0144,                 1.8684,                 1.0948,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0704,                  1.969,                 1.0947,                0.32728,                0.58849,                0.31411,                0.12307,                 1.9563,                  1.813,                 1.0915,               0.009703,               0.009703,               0.009703
                     17,                 2.0633,                 1.9797,                 1.1017,                0.33183,                 0.5882,                0.31873,                 0.1236,                 2.0044,                 1.7968,                 1.1012,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0608,                 1.9566,                 1.0943,                0.33938,                0.56657,                0.32364,                0.13322,                 1.8791,                 1.7792,                 1.0675,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.0445,                 1.9447,                 1.0921,                0.33419,                0.59813,                0.32225,                0.12771,                 1.9761,                 1.8002,                  1.087,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0435,                 1.9623,                 1.0936,                0.32336,                0.54676,                0.31327,                 0.1287,                 1.8734,                 1.8221,                 1.0655,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0395,                  1.957,                 1.0923,                0.33194,                0.56964,                0.31812,                0.13293,                 1.8933,                 1.8112,                 1.0697,               0.009604,               0.009604,               0.009604
                     22,                 2.0231,                 1.9235,                 1.0905,                0.33598,                0.60584,                0.33315,                0.14255,                 1.8174,                 1.7657,                  1.056,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0116,                 1.9164,                 1.0845,                0.33678,                 0.6089,                0.34045,                0.14151,                 1.8339,                 1.7767,                  1.047,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.9926,                 1.9197,                 1.0843,                0.33582,                0.58851,                0.32829,                0.13344,                  1.897,                 1.8053,                 1.0688,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.0005,                 1.9167,                 1.0776,                0.34555,                0.59671,                0.33845,                0.13936,                 1.8749,                 1.7407,                 1.0636,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9962,                 1.9155,                 1.0783,                0.35839,                0.59633,                0.35376,                0.15202,                  1.788,                 1.7356,                 1.0437,               0.009505,               0.009505,               0.009505
                     27,                  1.987,                 1.8975,                 1.0751,                0.35559,                 0.5858,                0.34706,                0.14844,                 1.7912,                 1.7431,                 1.0396,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9695,                 1.8893,                 1.0765,                0.34739,                0.59167,                0.34356,                0.14192,                 1.8604,                  1.761,                 1.0567,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.9579,                  1.884,                 1.0723,                 0.3508,                0.58511,                0.34295,                0.14532,                  1.808,                  1.746,                 1.0458,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.9494,                 1.8814,                 1.0659,                0.37186,                0.60923,                0.37172,                0.16167,                 1.7681,                 1.7136,                 1.0354,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.9433,                   1.87,                 1.0656,                0.35108,                 0.5878,                0.36134,                0.15653,                 1.7511,                 1.7613,                 1.0311,               0.009406,               0.009406,               0.009406
                     32,                 1.9487,                 1.8726,                 1.0658,                0.36717,                 0.6057,                0.37699,                0.16114,                 1.7885,                 1.7156,                 1.0373,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.9435,                  1.872,                 1.0672,                0.37374,                0.59959,                0.38536,                0.16683,                 1.7607,                 1.7028,                 1.0335,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.9331,                 1.8446,                 1.0572,                0.41035,                0.58518,                0.41973,                0.18296,                 1.7602,                 1.6768,                 1.0291,              0.0093466,              0.0093466,              0.0093466
                     35,                  1.925,                 1.8363,                 1.0602,                 0.4236,                0.58825,                0.44575,                0.19427,                 1.7425,                 1.6579,                 1.0269,              0.0093268,              0.0093268,              0.0093268
                     36,                   1.93,                 1.8271,                 1.0603,                0.47365,                0.60218,                0.49083,                0.21531,                  1.723,                 1.5979,                 1.0216,               0.009307,               0.009307,               0.009307
                     37,                  1.935,                 1.8099,                 1.0584,                0.46417,                0.58956,                0.49917,                 0.2115,                 1.7869,                 1.6071,                 1.0364,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.9235,                 1.7718,                  1.062,                0.53497,                0.59254,                0.53966,                0.23947,                 1.7238,                  1.551,                 1.0235,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.9204,                 1.7417,                 1.0586,                0.58835,                0.61115,                0.57923,                0.25377,                 1.7142,                 1.5037,                 1.0198,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.9297,                 1.7461,                 1.0527,                0.59979,                0.61052,                0.59698,                0.25938,                 1.7381,                 1.4838,                 1.0217,              0.0092278,              0.0092278,              0.0092278
