                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8576,                 1.8515,                 1.0686,                0.44813,                0.52074,                0.44802,                0.19512,                 1.7276,                 1.6773,                 1.0827,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.8508,                  1.841,                 1.0672,                0.45821,                 0.5132,                0.45429,                0.20233,                 1.6803,                 1.6709,                 1.0617,               0.009307,               0.009307,               0.009307
                     37,                 1.8616,                 1.8476,                 1.0708,                 0.4472,                0.51883,                0.44842,                0.19887,                 1.7048,                 1.6592,                 1.0711,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.8486,                 1.8387,                 1.0681,                  0.466,                0.53118,                0.47181,                0.20691,                 1.7019,                 1.6357,                 1.0718,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.8504,                 1.8322,                 1.0709,                 0.4699,                0.50139,                0.46267,                0.20514,                 1.7179,                 1.6424,                 1.0768,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.8493,                 1.8132,                 1.0652,                0.47846,                0.51323,                 0.4662,                 0.2072,                 1.6813,                 1.6397,                 1.0622,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.8416,                 1.8232,                 1.0683,                0.48481,                0.53805,                0.47422,                0.21011,                 1.6862,                 1.6298,                 1.0649,               0.009208,               0.009208,               0.009208
                     42,                 1.8255,                 1.7947,                 1.0616,                0.48672,                0.53289,                0.48662,                0.21571,                   1.71,                 1.6056,                 1.0736,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.823,                 1.8076,                  1.056,                0.47562,                0.52788,                0.47634,                0.21079,                 1.6933,                 1.6235,                  1.065,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.8303,                 1.8025,                 1.0607,                0.49289,                0.52907,                0.48168,                0.21406,                 1.7035,                 1.6144,                 1.0725,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.821,                 1.7928,                 1.0549,                 0.4957,                0.51783,                0.47812,                0.21321,                 1.6823,                 1.6184,                 1.0652,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.8229,                 1.8164,                 1.0584,                0.48889,                0.51751,                0.47554,                0.21174,                 1.6822,                 1.6243,                 1.0668,               0.009109,               0.009109,               0.009109
                     47,                 1.8213,                 1.8118,                 1.0561,                 0.4897,                0.54367,                0.48371,                0.21433,                 1.6889,                 1.6181,                 1.0658,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.8083,                 1.8084,                 1.0551,                0.48987,                0.52741,                0.48175,                0.21531,                 1.6878,                 1.6136,                 1.0641,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.7991,                  1.802,                 1.0489,                0.49928,                0.53079,                0.48436,                0.21564,                 1.7018,                 1.6075,                 1.0696,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.8138,                  1.788,                 1.0537,                 0.4995,                0.54063,                0.49014,                0.21784,                 1.7137,                 1.5927,                  1.077,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.8066,                  1.783,                 1.0533,                0.50504,                0.53476,                0.48642,                0.21934,                 1.6686,                 1.5956,                 1.0591,                0.00901,                0.00901,                0.00901
                     52,                 1.8053,                 1.7902,                 1.0528,                 0.5001,                0.53373,                0.48852,                0.21955,                 1.6603,                 1.5996,                  1.056,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.8112,                 1.7828,                 1.0527,                0.49919,                0.53071,                0.48686,                0.22104,                 1.6368,                 1.6053,                 1.0458,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.8003,                 1.7849,                 1.0499,                0.50197,                 0.5284,                0.48951,                0.22137,                 1.6476,                 1.5997,                 1.0502,              0.0089506,              0.0089506,              0.0089506
                     55,                  1.792,                 1.7869,                 1.0453,                0.51462,                 0.5226,                 0.4937,                 0.2229,                 1.6596,                  1.593,                 1.0553,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.7917,                 1.7838,                 1.0451,                0.50979,                0.53183,                0.49341,                0.22214,                 1.6681,                 1.5926,                 1.0573,               0.008911,               0.008911,               0.008911
                     57,                 1.7858,                 1.7753,                 1.0482,                0.51805,                0.53077,                 0.4943,                0.22186,                 1.6667,                 1.5969,                 1.0581,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.7866,                 1.7824,                 1.0465,                0.50589,                0.52589,                0.49026,                0.22024,                 1.6648,                 1.5975,                 1.0575,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.7835,                 1.7799,                 1.0447,                0.50754,                0.52332,                0.48752,                0.22076,                  1.656,                 1.6004,                 1.0534,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.7963,                 1.7922,                 1.0502,                0.49888,                 0.5199,                0.48652,                0.22033,                  1.651,                 1.5994,                  1.052,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.7664,                 1.7733,                 1.0428,                0.49682,                0.52501,                0.48726,                0.22026,                 1.6576,                 1.5969,                 1.0552,               0.008812,               0.008812,               0.008812
                     62,                 1.7846,                 1.7603,                 1.0456,                0.49871,                0.52667,                0.49007,                 0.2203,                 1.6618,                 1.5928,                 1.0576,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.7759,                 1.7722,                   1.05,                0.49744,                0.52677,                0.48913,                0.22033,                 1.6622,                 1.5913,                 1.0582,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.7944,                 1.7698,                 1.0468,                0.50141,                0.53036,                0.48862,                0.21996,                 1.6593,                 1.5906,                 1.0566,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.7685,                 1.7661,                 1.0461,                0.49958,                0.54422,                0.49137,                0.22059,                  1.662,                 1.5866,                 1.0573,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.7635,                 1.7598,                 1.0411,                0.50419,                0.54495,                0.49627,                0.22273,                 1.6613,                 1.5841,                 1.0558,               0.008713,               0.008713,               0.008713
                     67,                 1.7669,                  1.759,                 1.0378,                0.50741,                 0.5464,                0.49663,                0.22443,                  1.656,                 1.5813,                  1.054,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.7811,                 1.7642,                  1.043,                0.50692,                0.54351,                 0.4965,                0.22451,                 1.6556,                 1.5813,                 1.0539,              0.0086734,              0.0086734,              0.0086734
                     69,                  1.769,                 1.7517,                 1.0454,                0.50672,                0.53681,                0.49441,                0.22436,                 1.6581,                 1.5815,                 1.0548,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.7652,                 1.7469,                 1.0387,                0.50557,                0.53609,                0.49381,                 0.2246,                 1.6551,                 1.5804,                 1.0535,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.7627,                 1.7537,                 1.0429,                0.51144,                0.53126,                0.49568,                0.22534,                 1.6556,                 1.5788,                 1.0537,               0.008614,               0.008614,               0.008614
                     72,                 1.7698,                 1.7463,                 1.0354,                0.51081,                0.53082,                0.49714,                0.22619,                 1.6501,                 1.5768,                 1.0516,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.7622,                 1.7228,                 1.0375,                0.51162,                0.53522,                0.49906,                0.22687,                 1.6523,                 1.5749,                 1.0521,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.7717,                 1.7342,                 1.0419,                0.51422,                0.53787,                0.49956,                0.22751,                 1.6473,                 1.5742,                 1.0502,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.7605,                 1.7024,                 1.0371,                0.51286,                0.54123,                0.50025,                0.22761,                  1.644,                 1.5719,                 1.0487,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.7599,                 1.6865,                  1.041,                0.51529,                0.54079,                0.50239,                0.22812,                 1.6463,                 1.5688,                 1.0491,               0.008515,               0.008515,               0.008515
                     77,                  1.754,                 1.7107,                 1.0399,                0.52143,                0.54396,                0.50602,                0.22972,                 1.6456,                 1.5652,                 1.0482,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.7636,                 1.6975,                 1.0393,                0.52704,                0.54607,                0.50981,                0.23118,                 1.6468,                  1.561,                 1.0487,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.7503,                 1.6882,                 1.0327,                0.52888,                0.54866,                0.51129,                0.23265,                 1.6432,                 1.5573,                 1.0474,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.7443,                 1.6701,                  1.035,                0.53237,                0.55741,                0.51439,                0.23427,                   1.64,                 1.5537,                 1.0463,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.7468,                 1.6769,                 1.0387,                0.53606,                0.55721,                0.51836,                0.23667,                 1.6394,                 1.5488,                 1.0463,               0.008416,               0.008416,               0.008416
                     82,                 1.7443,                 1.6587,                 1.0356,                0.54292,                0.56295,                0.52145,                0.23824,                 1.6423,                 1.5442,                 1.0473,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.7497,                 1.6676,                 1.0345,                0.54593,                0.56549,                0.52469,                0.23975,                 1.6408,                 1.5398,                 1.0469,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.7452,                 1.6562,                 1.0361,                0.54743,                0.56686,                 0.5269,                0.24087,                 1.6422,                 1.5351,                 1.0473,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.7369,                 1.6585,                 1.0311,                0.55108,                0.57195,                0.52997,                0.24224,                 1.6422,                 1.5308,                 1.0471,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.7423,                 1.6612,                 1.0335,                0.55483,                  0.573,                0.53272,                 0.2435,                 1.6409,                 1.5273,                 1.0467,               0.008317,               0.008317,               0.008317
                     87,                 1.7436,                 1.6682,                  1.035,                0.55878,                0.57112,                0.53445,                0.24462,                 1.6409,                 1.5241,                 1.0467,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.7304,                 1.6566,                 1.0338,                0.56097,                0.57558,                0.53859,                0.24608,                 1.6395,                 1.5211,                  1.046,              0.0082774,              0.0082774,              0.0082774
                     89,                  1.731,                 1.6608,                 1.0334,                0.56387,                 0.5749,                0.54091,                0.24722,                 1.6371,                 1.5176,                 1.0454,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.7424,                 1.6531,                 1.0357,                0.56508,                0.57686,                0.54172,                0.24755,                 1.6368,                 1.5151,                 1.0453,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.7292,                 1.6486,                 1.0302,                0.56796,                0.57614,                0.54321,                0.24865,                 1.6374,                 1.5125,                 1.0455,               0.008218,               0.008218,               0.008218
                     92,                 1.7278,                  1.642,                 1.0279,                0.56776,                0.57766,                0.54621,                0.24983,                 1.6354,                 1.5099,                 1.0449,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.7332,                 1.6448,                  1.033,                0.56872,                 0.5782,                0.54635,                0.25049,                 1.6345,                 1.5081,                 1.0446,              0.0081784,              0.0081784,              0.0081784
