                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5581,                 4.8763,                 1.2757,                 0.2022,                0.24899,                0.13886,                0.04595,                 2.2898,                 2.4513,                 1.2126,              0.0033316,              0.0033316,              0.0033316
                      2,                 2.3073,                 3.2664,                 1.1705,                0.21157,                 0.4106,                 0.1847,                0.06347,                 2.2515,                 2.1455,                 1.1847,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.2934,                 2.7167,                 1.1726,                0.16709,                0.31922,                0.13502,                0.04238,                 2.2161,                 2.3387,                 1.1539,              0.0099587,              0.0099587,              0.0099587
                      4,                 2.3003,                 2.4355,                 1.1707,                0.20417,                0.46998,                0.19293,                0.06887,                 2.1574,                 2.1163,                 1.1546,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2472,                 2.2731,                 1.1583,                0.21357,                0.46694,                0.20507,                0.06921,                 2.1637,                 2.0947,                 1.1412,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2191,                 2.2212,                 1.1504,                0.23848,                 0.4768,                0.22813,                0.08612,                 2.1218,                 2.0419,                  1.141,               0.009901,               0.009901,               0.009901
                      7,                 2.1994,                 2.1781,                 1.1446,                0.16374,                0.46819,                0.14761,                0.04403,                 2.2564,                 2.1505,                 1.1618,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1856,                 2.1392,                 1.1358,                0.24963,                0.50125,                0.24572,                0.08833,                 2.0658,                 1.9751,                 1.1109,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1591,                 2.1115,                  1.125,                0.28705,                0.50348,                  0.262,                0.10088,                 2.0742,                 1.9335,                 1.1233,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1611,                 2.1031,                 1.1274,                0.25078,                0.42295,                0.21916,                0.06904,                 2.2908,                 2.0476,                 1.1792,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1204,                 2.0684,                  1.116,                0.29473,                0.51941,                0.27008,                0.10733,                 1.9824,                 1.8933,                 1.0954,               0.009802,               0.009802,               0.009802
                     12,                 2.1213,                 2.0571,                 1.1194,                0.29152,                0.56011,                0.28578,                0.10922,                 1.9929,                 1.8577,                 1.0963,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1147,                 2.0285,                 1.1131,                0.25562,                0.52628,                0.25295,                0.08915,                 2.0232,                 1.9311,                 1.1005,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0873,                 2.0228,                   1.11,                0.31206,                0.57081,                0.30127,                0.11604,                 1.9876,                 1.8439,                 1.0924,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0807,                 1.9996,                 1.1042,                  0.305,                 0.5561,                0.29044,                 0.1132,                 1.9762,                 1.8413,                 1.0852,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0777,                 1.9841,                 1.0989,                0.30866,                0.57125,                0.30116,                0.11531,                 1.9511,                   1.86,                 1.0784,               0.009703,               0.009703,               0.009703
                     17,                 2.0732,                 1.9833,                  1.107,                0.30442,                0.55135,                0.29612,                0.11374,                 1.9692,                 1.8561,                 1.0849,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0668,                 1.9659,                 1.0963,                0.27788,                0.49098,                0.25985,                0.08447,                  2.162,                 1.9438,                 1.1386,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.0475,                 1.9617,                 1.0938,                0.31557,                0.57986,                0.30348,                0.12226,                 1.8825,                 1.8238,                 1.0654,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0325,                 1.9474,                 1.0904,                0.32997,                0.57328,                0.31752,                0.13023,                 1.8725,                 1.8011,                 1.0599,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0249,                 1.9328,                 1.0891,                0.32736,                0.55953,                0.31365,                0.13016,                 1.8649,                 1.8035,                 1.0593,               0.009604,               0.009604,               0.009604
                     22,                  2.016,                 1.9373,                 1.0829,                0.33258,                0.57165,                0.31644,                0.12933,                 1.8752,                 1.7963,                 1.0571,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.0064,                 1.9161,                  1.086,                0.33903,                0.58526,                0.32784,                0.13584,                 1.8642,                 1.7746,                 1.0573,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0107,                 1.9432,                 1.0857,                0.34455,                0.57299,                0.32681,                0.13847,                 1.8224,                 1.7839,                 1.0435,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.985,                 1.9074,                 1.0755,                 0.3425,                0.59895,                0.33364,                0.13903,                 1.8348,                 1.7568,                 1.0471,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9946,                 1.9241,                 1.0786,                0.33298,                0.58055,                0.33001,                0.13397,                 1.9081,                 1.7802,                 1.0684,               0.009505,               0.009505,               0.009505
                     27,                  1.989,                 1.9109,                 1.0775,                0.34933,                 0.5799,                 0.3353,                0.13919,                 1.8334,                 1.7713,                  1.045,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9704,                  1.893,                 1.0769,                0.34928,                0.63482,                0.35224,                0.15164,                 1.7969,                 1.7309,                 1.0377,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.9546,                 1.8985,                 1.0722,                0.34714,                0.59088,                0.33932,                0.14351,                 1.8308,                 1.7674,                 1.0425,              0.0094456,              0.0094456,              0.0094456
                     30,                  1.953,                 1.8889,                 1.0651,                0.33559,                0.55754,                0.32843,                0.13208,                 1.8806,                 1.8173,                 1.0505,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.9506,                 1.8795,                 1.0642,                0.35536,                0.59362,                0.35079,                0.15066,                 1.8131,                 1.7481,                 1.0348,               0.009406,               0.009406,               0.009406
                     32,                 1.9616,                 1.8853,                 1.0694,                0.35542,                0.58803,                0.35393,                0.15274,                 1.8296,                  1.731,                 1.0399,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.9404,                 1.8767,                 1.0654,                0.37214,                 0.5813,                0.36713,                0.15885,                 1.7637,                 1.7256,                 1.0258,              0.0093664,              0.0093664,              0.0093664
                     34,                 1.9324,                 1.8653,                 1.0552,                0.37438,                0.60772,                0.37913,                0.16487,                 1.7579,                 1.7002,                 1.0218,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.9359,                 1.8587,                 1.0596,                0.37071,                0.59114,                0.37625,                 0.1665,                  1.729,                 1.7148,                 1.0169,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.9407,                  1.867,                 1.0654,                0.38323,                0.59227,                0.39024,                0.16773,                 1.7568,                 1.7117,                 1.0246,               0.009307,               0.009307,               0.009307
                     37,                 1.9165,                 1.8363,                 1.0567,                0.40463,                0.58542,                0.41957,                0.18346,                  1.756,                   1.66,                 1.0217,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.9148,                 1.8274,                 1.0558,                0.43789,                0.59437,                0.46517,                0.20338,                 1.7351,                 1.6342,                 1.0195,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.9125,                 1.7832,                 1.0594,                0.47752,                 0.5933,                0.50132,                0.21974,                 1.7479,                 1.5949,                 1.0219,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.9027,                 1.7548,                  1.053,                0.52125,                0.59546,                0.53762,                0.23293,                 1.7304,                 1.5411,                 1.0163,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.9065,                 1.7581,                 1.0583,                0.53053,                0.60591,                0.55653,                0.24257,                 1.7343,                 1.5212,                 1.0193,               0.009208,               0.009208,               0.009208
                     42,                 1.9084,                 1.7212,                 1.0581,                0.55519,                0.60607,                 0.5694,                0.24687,                 1.7542,                 1.5071,                 1.0212,              0.0091882,              0.0091882,              0.0091882
                     43,                  1.901,                 1.6982,                 1.0536,                0.63324,                 0.6268,                0.62714,                0.27579,                 1.7189,                 1.4342,                 1.0127,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.9023,                 1.6583,                 1.0577,                0.63583,                0.63003,                0.62741,                0.27904,                 1.7263,                 1.4148,                 1.0161,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.9055,                 1.6479,                 1.0531,                0.64178,                0.64024,                0.63349,                0.27843,                 1.7321,                 1.4122,                 1.0162,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.8897,                 1.6294,                 1.0447,                0.65169,                0.65488,                0.64703,                0.28831,                 1.6956,                 1.3904,                 1.0092,               0.009109,               0.009109,               0.009109
                     47,                  1.893,                 1.6348,                 1.0514,                0.65168,                0.65179,                0.64622,                0.29103,                 1.6895,                 1.3827,                 1.0042,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.8815,                 1.6233,                 1.0478,                0.64785,                0.64862,                0.64937,                0.28945,                 1.7089,                 1.3657,                 1.0091,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.8756,                 1.6207,                 1.0439,                0.66009,                0.66449,                0.65773,                0.29559,                 1.6911,                 1.3723,                 1.0067,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.8716,                 1.5983,                 1.0459,                0.65515,                0.65194,                0.65041,                0.29334,                 1.7151,                 1.3746,                 1.0106,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.8681,                 1.5971,                 1.0522,                 0.6558,                 0.6562,                0.65188,                0.29189,                 1.6955,                 1.3698,                 1.0068,                0.00901,                0.00901,                0.00901
                     52,                 1.8703,                 1.5984,                 1.0451,                0.66152,                0.67598,                0.66202,                 0.2981,                  1.692,                 1.3459,                 1.0063,              0.0089902,              0.0089902,              0.0089902
                     53,                   1.86,                 1.5891,                 1.0448,                0.66309,                0.66045,                0.66035,                0.29733,                 1.6743,                 1.3606,                0.99922,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.8737,                  1.583,                 1.0417,                0.65579,                0.66525,                0.66561,                 0.2985,                 1.6863,                 1.3551,                 1.0018,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.8497,                 1.5699,                 1.0377,                0.66858,                0.67384,                0.67648,                0.30679,                 1.6814,                 1.3415,                 1.0011,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.8629,                 1.5898,                 1.0427,                0.66503,                0.67212,                  0.674,                0.30669,                  1.663,                 1.3355,                0.99945,               0.008911,               0.008911,               0.008911
                     57,                 1.8533,                 1.5681,                 1.0376,                0.66521,                0.67369,                0.67362,                0.30726,                 1.6678,                 1.3281,                0.99826,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.8458,                 1.5614,                 1.0422,                0.67469,                0.68161,                0.67917,                0.31159,                 1.6502,                 1.3316,                0.99414,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.8349,                  1.562,                 1.0381,                0.67918,                  0.687,                0.68002,                0.31306,                  1.657,                 1.3129,                0.99557,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.8378,                 1.5551,                  1.042,                0.67338,                0.68007,                0.67946,                0.31359,                 1.6449,                 1.3192,                0.99404,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.8203,                 1.5404,                 1.0352,                0.67762,                0.69039,                0.68109,                0.31681,                 1.6371,                 1.3128,                0.99118,               0.008812,               0.008812,               0.008812
                     62,                 1.8258,                 1.5497,                 1.0352,                 0.6819,                0.69034,                0.68326,                0.31732,                  1.636,                 1.3064,                0.99281,              0.0087922,              0.0087922,              0.0087922
                     63,                  1.834,                 1.5504,                 1.0315,                0.67959,                0.68407,                0.68219,                 0.3183,                 1.6289,                  1.313,                0.99061,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.8284,                 1.5301,                 1.0321,                0.67695,                0.67884,                0.67778,                0.31682,                 1.6318,                 1.3169,                0.99106,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.8208,                 1.5291,                 1.0309,                0.68113,                0.68702,                0.68529,                 0.3201,                 1.6266,                 1.3011,                 0.9889,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.8185,                 1.5345,                 1.0302,                0.68091,                 0.6888,                0.68684,                0.32027,                 1.6201,                 1.3045,                0.98726,               0.008713,               0.008713,               0.008713
                     67,                  1.807,                 1.5243,                 1.0256,                0.67643,                0.69599,                0.68837,                0.32289,                 1.6102,                 1.3022,                0.98611,              0.0086932,              0.0086932,              0.0086932
                     68,                  1.801,                 1.5105,                 1.0228,                0.68339,                 0.6901,                 0.6903,                 0.3242,                 1.6128,                 1.2966,                0.98688,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.8111,                   1.52,                 1.0297,                0.68298,                0.69522,                0.69191,                0.32488,                 1.6099,                 1.2935,                0.98613,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.7932,                 1.5139,                 1.0214,                0.68995,                0.69711,                0.69427,                0.32565,                 1.6093,                 1.2917,                0.98408,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.8088,                 1.5443,                 1.0262,                0.68377,                0.69681,                0.69025,                0.32509,                 1.6081,                 1.2928,                0.98501,               0.008614,               0.008614,               0.008614
                     72,                  1.802,                 1.5319,                 1.0269,                0.69033,                0.69022,                 0.6918,                0.32583,                 1.6083,                 1.2908,                0.98497,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.7913,                 1.5205,                 1.0214,                0.69087,                 0.6941,                0.69442,                0.32772,                 1.6146,                 1.2832,                0.98879,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.7908,                 1.5175,                 1.0241,                0.68751,                0.69634,                0.69573,                0.32788,                 1.6153,                 1.2858,                0.98833,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.7828,                 1.4981,                 1.0233,                0.68588,                 0.6997,                0.69807,                0.32989,                  1.613,                 1.2796,                0.98883,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.7854,                 1.5236,                 1.0179,                0.68885,                 0.6972,                0.69618,                 0.3288,                 1.6033,                 1.2877,                0.98409,               0.008515,               0.008515,               0.008515
                     77,                 1.7806,                 1.5156,                 1.0238,                0.68377,                0.70239,                0.69758,                0.33031,                 1.6002,                 1.2805,                0.98438,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.7908,                 1.5123,                 1.0219,                0.69184,                0.69862,                0.69849,                0.33023,                 1.6068,                 1.2821,                0.98568,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.7851,                 1.5057,                 1.0192,                0.68928,                0.70122,                0.69685,                0.33032,                 1.6075,                 1.2795,                0.98495,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.7715,                 1.4947,                 1.0172,                 0.6835,                0.70551,                0.69767,                0.33087,                 1.6097,                 1.2752,                 0.9876,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.7732,                 1.4922,                 1.0175,                0.68774,                0.70611,                0.70038,                 0.3323,                 1.6051,                 1.2742,                0.98772,               0.008416,               0.008416,               0.008416
                     82,                 1.7633,                 1.4974,                 1.0163,                0.69103,                0.70666,                0.69987,                0.33229,                 1.6087,                 1.2685,                0.98903,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.7829,                 1.5004,                 1.0209,                0.69343,                0.70758,                0.70125,                 0.3336,                 1.6003,                 1.2667,                0.98595,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.7729,                 1.5032,                  1.019,                0.69173,                0.70965,                0.70334,                0.33419,                 1.6051,                 1.2626,                0.98907,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.763,                 1.4933,                  1.018,                0.69501,                0.70556,                0.70544,                0.33509,                 1.6019,                  1.261,                0.98742,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.7737,                 1.4994,                  1.014,                0.69389,                0.70706,                0.70428,                0.33484,                 1.6032,                 1.2608,                0.98759,               0.008317,               0.008317,               0.008317
                     87,                 1.7694,                 1.4867,                 1.0143,                0.69411,                 0.7071,                0.70546,                0.33528,                 1.6072,                 1.2598,                 0.9882,              0.0082972,              0.0082972,              0.0082972
                     88,                  1.757,                 1.4816,                 1.0142,                0.69489,                 0.7085,                0.70585,                0.33507,                 1.6073,                 1.2577,                0.98853,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.7526,                 1.4931,                 1.0176,                0.69414,                0.70838,                0.70285,                0.33391,                 1.6107,                 1.2601,                0.99008,              0.0082576,              0.0082576,              0.0082576
