                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5631,                 4.9433,                  1.272,                0.19054,                0.22914,                0.12641,                0.03591,                 2.2939,                 2.5885,                 1.1724,              0.0033316,              0.0033316,              0.0033316
                      2,                 2.3065,                 3.2454,                 1.1584,                 0.1926,                0.29943,                0.15379,                0.05268,                 2.1715,                 2.2936,                 1.1268,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.2869,                 2.7008,                 1.1611,                0.18283,                0.37923,                0.15191,                0.04312,                 2.3471,                 2.2447,                 1.1878,              0.0099587,              0.0099587,              0.0099587
                      4,                 2.2926,                 2.4217,                 1.1705,                0.20488,                0.45067,                0.18703,                0.05995,                 2.1479,                 2.1589,                 1.1413,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2575,                 2.2946,                 1.1536,                0.22056,                0.51525,                0.21552,                0.07284,                 2.1601,                 2.0527,                 1.1498,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2256,                 2.2199,                  1.151,                0.20127,                0.46824,                0.19813,                0.06968,                  2.091,                 2.0839,                 1.1202,               0.009901,               0.009901,               0.009901
                      7,                 2.1944,                 2.1611,                 1.1382,                0.25145,                0.52038,                 0.2415,                0.08971,                 2.1224,                 1.9783,                  1.143,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1751,                 2.1261,                 1.1398,                0.23346,                0.50848,                0.22406,                0.07629,                 2.0948,                 1.9637,                 1.1303,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1661,                 2.1119,                 1.1312,                0.28636,                0.53342,                  0.284,                0.11094,                  1.987,                 1.8828,                 1.1041,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1362,                 2.0765,                 1.1239,                0.26275,                0.52815,                0.26055,                0.09952,                 2.0113,                 1.9003,                 1.1028,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1232,                 2.0543,                 1.1166,                0.25772,                0.53434,                0.25821,                0.09928,                 1.9735,                 1.9432,                 1.0866,               0.009802,               0.009802,               0.009802
                     12,                 2.1218,                 2.0655,                 1.1132,                0.30629,                0.53457,                0.29044,                0.11594,                 2.0059,                  1.849,                  1.103,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1134,                 2.0323,                 1.1106,                0.29808,                0.54952,                0.29098,                0.11486,                 1.9496,                 1.8382,                 1.0911,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0975,                  2.024,                  1.108,                0.31324,                0.53478,                0.29108,                 0.1156,                 1.9351,                 1.8905,                 1.0806,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0863,                 1.9901,                 1.1072,                0.31468,                0.57504,                0.30394,                0.12141,                 1.9149,                 1.8096,                 1.0728,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0734,                 1.9762,                  1.102,                 0.3296,                0.58123,                0.31981,                0.12872,                 1.9515,                 1.8039,                 1.0831,               0.009703,               0.009703,               0.009703
                     17,                 2.0636,                 1.9792,                 1.1049,                0.31791,                0.56899,                 0.3164,                0.12629,                 1.9139,                 1.8508,                 1.0689,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0513,                 1.9656,                 1.0934,                0.32386,                0.57938,                0.31627,                0.12814,                 1.9025,                 1.8064,                 1.0677,              0.0096634,              0.0096634,              0.0096634
                     19,                  2.036,                 1.9555,                 1.0931,                0.33656,                0.59071,                0.32331,                0.13499,                 1.8831,                 1.7814,                 1.0632,              0.0096436,              0.0096436,              0.0096436
                     20,                 2.0464,                 1.9449,                 1.0924,                0.33871,                0.53334,                0.31305,                 0.1236,                 1.9144,                 1.8297,                 1.0672,              0.0096238,              0.0096238,              0.0096238
                     21,                 2.0194,                 1.9379,                 1.0873,                0.33711,                0.58741,                0.33026,                0.13784,                 1.8428,                 1.7715,                 1.0519,               0.009604,               0.009604,               0.009604
                     22,                 2.0273,                 1.9378,                 1.0897,                0.34516,                0.59691,                0.33304,                0.13775,                 1.8564,                  1.763,                 1.0558,              0.0095842,              0.0095842,              0.0095842
                     23,                  2.007,                 1.9098,                 1.0846,                0.35291,                0.60671,                0.34311,                0.14604,                 1.8327,                 1.7351,                 1.0491,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.0004,                 1.9087,                 1.0831,                0.33945,                0.59646,                0.33273,                0.14437,                 1.8031,                 1.7525,                 1.0418,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.995,                 1.9043,                 1.0817,                0.34854,                0.57663,                0.33539,                0.13815,                 1.8504,                 1.7826,                 1.0528,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.9714,                 1.9137,                 1.0765,                0.34009,                0.64377,                0.34881,                0.14851,                 1.8058,                 1.7246,                 1.0411,               0.009505,               0.009505,               0.009505
                     27,                 1.9675,                 1.8989,                 1.0759,                0.35014,                0.58814,                0.34093,                0.14843,                 1.7843,                 1.7441,                 1.0361,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.9734,                 1.8926,                 1.0738,                0.33817,                0.60576,                0.33764,                0.13732,                 1.8699,                 1.7699,                 1.0544,              0.0094654,              0.0094654,              0.0094654
