                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1424,                 4.8705,                 1.6233,                0.21972,                0.39287,                0.18212,                0.05154,                 2.6452,                 2.7212,                 1.4333,              0.0033279,              0.0033279,              0.0033279
                      2,                 2.5612,                 2.9726,                 1.2886,                0.24547,                0.44795,                0.22596,                0.07078,                 2.5763,                 2.2143,                 1.3771,               0.006648,               0.006648,               0.006648
                      3,                 2.4739,                 2.5876,                 1.2572,                0.24485,                0.42743,                0.23582,                0.05765,                 2.5925,                 2.0427,                 1.3114,               0.009955,               0.009955,               0.009955
                      4,                 2.4183,                 2.3122,                 1.2275,                0.31411,                0.55307,                0.34376,                0.10607,                 2.2275,                 1.8366,                 1.1751,              0.0099406,              0.0099406,              0.0099406
                      5,                  2.343,                 2.0069,                 1.1947,                0.43941,                0.56109,                0.45273,                 0.1573,                 2.1655,                 1.6827,                 1.1702,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.3129,                 1.8717,                  1.196,                0.44719,                0.53273,                0.44029,                0.13297,                 2.2668,                  1.639,                 1.1914,               0.009901,               0.009901,               0.009901
                      7,                 2.3221,                 1.8105,                 1.1854,                0.30773,                0.39159,                0.28293,                0.06044,                 2.9522,                 1.7583,                 1.4281,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2924,                 1.7367,                 1.1791,                0.54503,                0.62967,                0.55229,                0.19238,                 2.2291,                 1.4461,                 1.2112,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.2909,                 1.7236,                 1.1738,                0.53238,                0.63164,                0.56309,                0.21519,                  2.089,                 1.5065,                 1.1706,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.2253,                 1.6685,                 1.1645,                  0.579,                0.65199,                0.62099,                0.22224,                 2.0655,                 1.4459,                 1.1413,              0.0098218,              0.0098218,              0.0098218
                     11,                  2.204,                 1.6213,                 1.1544,                0.60091,                0.66824,                0.62096,                0.22748,                 2.0708,                 1.4121,                 1.1439,               0.009802,               0.009802,               0.009802
                     12,                 2.2012,                 1.6069,                 1.1485,                0.62805,                0.63137,                0.59589,                0.20964,                 2.1376,                 1.4603,                 1.1646,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.1932,                 1.5805,                 1.1477,                 0.6292,                0.65152,                0.63194,                0.24597,                 2.0204,                 1.3893,                 1.1287,              0.0097624,              0.0097624,              0.0097624
                     14,                  2.187,                 1.5508,                 1.1378,                0.61906,                0.66877,                0.60995,                0.22646,                 2.0692,                 1.4118,                 1.1403,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.1943,                 1.5671,                 1.1429,                0.53499,                0.63284,                0.57327,                0.19183,                 2.1941,                 1.4829,                 1.1671,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.1747,                 1.5529,                 1.1345,                0.64533,                0.68805,                0.66008,                0.25096,                 2.0216,                  1.366,                 1.1254,               0.009703,               0.009703,               0.009703
                     17,                 2.1606,                 1.5373,                 1.1404,                0.63749,                 0.6793,                0.63572,                0.24179,                 2.0242,                 1.3955,                 1.1315,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.1271,                 1.5103,                 1.1253,                0.67408,                0.72153,                0.68467,                0.26566,                 1.9931,                 1.3255,                 1.1125,              0.0096634,              0.0096634,              0.0096634
