                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6785,                 6.0581,                 1.3658,                0.13989,                0.14136,                0.08645,                0.02924,                 2.2445,                 2.5842,                 1.2587,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.3969,                 3.4477,                 1.2548,                 0.1788,                0.29585,                0.13955,                0.04655,                 2.2467,                 2.3368,                 1.2483,              0.0066523,              0.0066523,              0.0066523
                      3,                  2.389,                 2.7123,                 1.2534,                0.12516,                0.29764,                0.11441,                0.03732,                 2.2262,                 2.4014,                 1.2477,              0.0099593,              0.0099593,              0.0099593
                      4,                 2.3882,                 2.5614,                 1.2509,                 0.1646,                0.37916,                0.14059,                0.04562,                 2.1638,                 2.3183,                 1.2222,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3318,                 2.4439,                 1.2353,                0.17948,                  0.418,                 0.1691,                0.05533,                 2.1376,                  2.217,                 1.2039,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2774,                 2.3513,                 1.2033,                0.21769,                0.39123,                0.19881,                0.06982,                 2.0712,                 2.1378,                 1.1717,               0.009901,               0.009901,               0.009901
                      7,                 2.2432,                  2.303,                 1.1947,                0.18196,                0.37239,                0.16668,                0.05144,                 2.2712,                 2.2388,                  1.233,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2147,                 2.2633,                 1.1829,                0.23164,                0.37692,                0.20426,                0.07096,                 2.0419,                 2.1369,                  1.162,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1864,                 2.2232,                 1.1752,                  0.249,                0.37583,                0.21465,                0.07596,                 1.9926,                 2.1132,                 1.1484,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1669,                 2.1856,                 1.1636,                0.34778,                0.40866,                0.31992,                0.11838,                 1.9447,                 1.9702,                 1.1407,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.1457,                 2.1652,                 1.1642,                0.32434,                0.41191,                 0.3065,                0.10996,                 1.9674,                 1.9831,                 1.1452,               0.009802,               0.009802,               0.009802
                     12,                 2.1205,                 2.1176,                 1.1484,                0.30644,                0.39883,                0.28523,                0.11113,                 1.8783,                 1.9877,                 1.1184,              0.0097822,              0.0097822,              0.0097822
                     13,                 2.0912,                 2.0876,                 1.1427,                0.33234,                0.43407,                0.32595,                0.12912,                 1.8555,                 1.9165,                 1.1173,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0763,                 2.0788,                 1.1443,                 0.3558,                0.42758,                0.33384,                0.12714,                 1.9032,                 1.8992,                 1.1273,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0513,                 2.0554,                  1.135,                0.33206,                0.44315,                0.32494,                0.12719,                 1.8745,                 1.9114,                 1.1171,              0.0097228,              0.0097228,              0.0097228
                     16,                  2.039,                 2.0367,                 1.1281,                0.35527,                0.44621,                0.35103,                0.13496,                 1.8813,                 1.8582,                 1.1239,               0.009703,               0.009703,               0.009703
