                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6819,                 6.1105,                 1.3558,                0.13408,                0.28746,                0.10066,                0.03362,                 2.2911,                 2.5518,                  1.287,              0.0033322,              0.0033322,              0.0033322
                      2,                  2.403,                 3.4632,                 1.2549,                0.16738,                0.30217,                0.12355,                0.04202,                 2.1697,                 2.4329,                 1.2327,              0.0066523,              0.0066523,              0.0066523
                      3,                  2.412,                 2.7616,                 1.2587,                0.15669,                0.24519,                0.11481,                0.03596,                 2.2086,                 2.4248,                 1.2334,              0.0099593,              0.0099593,              0.0099593
                      4,                 2.3705,                 2.5316,                 1.2463,                0.18365,                 0.2555,                0.13415,                0.04563,                 2.2446,                 2.3911,                 1.2583,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.3303,                 2.4133,                 1.2336,                0.22335,                0.32986,                0.17734,                0.06145,                 2.1443,                 2.2217,                 1.2121,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2805,                  2.358,                  1.208,                0.20511,                0.34563,                0.18253,                0.06412,                 2.0985,                 2.2193,                 1.2063,               0.009901,               0.009901,               0.009901
                      7,                 2.2399,                 2.2975,                 1.1913,                0.24225,                0.32088,                0.19901,                0.06472,                 2.1913,                 2.1756,                   1.21,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.2199,                 2.2538,                  1.183,                0.30897,                0.37077,                0.26788,                 0.0927,                 2.0891,                 2.0558,                 1.1978,              0.0098614,              0.0098614,              0.0098614
                      9,                  2.198,                  2.205,                 1.1755,                0.31405,                0.38973,                 0.2831,                0.10594,                 1.9707,                 2.0111,                 1.1542,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1639,                 2.1625,                 1.1677,                0.32469,                 0.3571,                 0.2823,                0.10192,                 2.0715,                 1.9964,                 1.1817,              0.0098218,              0.0098218,              0.0098218
